"YoDi";"WoDi";"group";"nb";"nbc";"Pnb";"country"
2020;1;"00to19";12;12;11,30726;"Denmark"
2020;2;"00to19";7;7;11,29294;"Denmark"
2020;3;"00to19";7;7;11,27864;"Denmark"
2020;4;"00to19";19;19;11,26436;"Denmark"
2020;5;"00to19";20;20;11,2501;"Denmark"
2020;6;"00to19";13;13;11,23585;"Denmark"
2020;7;"00to19";10;10;11,22162;"Denmark"
2020;8;"00to19";10;10;11,20742;"Denmark"
2020;9;"00to19";11;11;11,19322;"Denmark"
2020;10;"00to19";13;13;11,17905;"Denmark"
2020;11;"00to19";18;18;11,1649;"Denmark"
2020;12;"00to19";10;10;11,15076;"Denmark"
2020;13;"00to19";11;11;11,13664;"Denmark"
2020;14;"00to19";12;12;11,12254;"Denmark"
2020;15;"00to19";8;8;11,10845;"Denmark"
2020;16;"00to19";13;13;11,09439;"Denmark"
2020;17;"00to19";17;17;11,08034;"Denmark"
2020;18;"00to19";13;13;11,06631;"Denmark"
2020;19;"00to19";12;12;11,05229;"Denmark"
2020;20;"00to19";13;13;11,0383;"Denmark"
2020;21;"00to19";6;6;11,02432;"Denmark"
2020;22;"00to19";8;8;11,01036;"Denmark"
2020;23;"00to19";9;9;10,99642;"Denmark"
2020;24;"00to19";14;14;10,9825;"Denmark"
2020;25;"00to19";10;10;10,96859;"Denmark"
2020;26;"00to19";13;13;10,9547;"Denmark"
2020;27;"00to19";14;14;10,94083;"Denmark"
2020;28;"00to19";9;9;10,92698;"Denmark"
2020;29;"00to19";10;10;10,91314;"Denmark"
2020;30;"00to19";22;22;10,89932;"Denmark"
2020;31;"00to19";13;13;10,88552;"Denmark"
2020;32;"00to19";10;10;10,87174;"Denmark"
2020;33;"00to19";12;12;10,85797;"Denmark"
2020;34;"00to19";12;12;10,84422;"Denmark"
2020;35;"00to19";18;18;10,83049;"Denmark"
2020;36;"00to19";14;14;10,81678;"Denmark"
2020;37;"00to19";15;15;10,80308;"Denmark"
2020;38;"00to19";12;12;10,7894;"Denmark"
2020;39;"00to19";6;6;10,77574;"Denmark"
2020;40;"00to19";14;14;10,76209;"Denmark"
2020;41;"00to19";9;9;10,74846;"Denmark"
2020;42;"00to19";11;11;10,73485;"Denmark"
2020;43;"00to19";13;13;10,72126;"Denmark"
2020;44;"00to19";9;9;10,70769;"Denmark"
2020;45;"00to19";20;20;10,69413;"Denmark"
2020;46;"00to19";11;11;10,68059;"Denmark"
2020;47;"00to19";10;10;10,66706;"Denmark"
2020;48;"00to19";9;9;10,65355;"Denmark"
2020;49;"00to19";8;8;10,64006;"Denmark"
2020;50;"00to19";6;6;10,62659;"Denmark"
2020;51;"00to19";10;10;10,61314;"Denmark"
2020;52;"00to19";6;6;10,5997;"Denmark"
2020;53;"00to19";10;10;10,58627;"Denmark"
2021;1;"00to19";14;14;10,57287;"Denmark"
2021;2;"00to19";9;9;10,55948;"Denmark"
2021;3;"00to19";8;8;10,54611;"Denmark"
2021;4;"00to19";13;13;10,53276;"Denmark"
2021;5;"00to19";20;20;10,51942;"Denmark"
2021;6;"00to19";8;8;10,5061;"Denmark"
2021;7;"00to19";8;8;10,4928;"Denmark"
2021;8;"00to19";9;9;10,47951;"Denmark"
2021;9;"00to19";18;18;10,46624;"Denmark"
2021;10;"00to19";13;13;10,45299;"Denmark"
2021;11;"00to19";9;9;10,43975;"Denmark"
2021;12;"00to19";11;11;10,42653;"Denmark"
2021;13;"00to19";12;12;10,41333;"Denmark"
2021;14;"00to19";16;16;10,40014;"Denmark"
2021;15;"00to19";14;14;10,38697;"Denmark"
2021;16;"00to19";13;13;10,37382;"Denmark"
2021;17;"00to19";14;14;10,36069;"Denmark"
2021;18;"00to19";11;11;10,34757;"Denmark"
2021;19;"00to19";13;13;10,33446;"Denmark"
2021;20;"00to19";15;15;10,32138;"Denmark"
2021;21;"00to19";10;10;10,30831;"Denmark"
2021;22;"00to19";6;6;10,29526;"Denmark"
2021;23;"00to19";11;11;10,28222;"Denmark"
2021;24;"00to19";10;10;10,2692;"Denmark"
2021;25;"00to19";9;9;10,2562;"Denmark"
2021;26;"00to19";16;16;10,24321;"Denmark"
2021;27;"00to19";17;17;10,23024;"Denmark"
2021;28;"00to19";10;10;10,21728;"Denmark"
2021;29;"00to19";14;14;10,20435;"Denmark"
2021;30;"00to19";18;18;10,19143;"Denmark"
2021;31;"00to19";16;16;10,17852;"Denmark"
2021;32;"00to19";13;13;10,16563;"Denmark"
2021;33;"00to19";14;14;10,15276;"Denmark"
2021;34;"00to19";14;14;10,1399;"Denmark"
2021;35;"00to19";11;11;10,12706;"Denmark"
2021;36;"00to19";13;13;10,11424;"Denmark"
2021;37;"00to19";13;13;10,10143;"Denmark"
2021;38;"00to19";13;13;10,08864;"Denmark"
2021;39;"00to19";14;14;10,07587;"Denmark"
2021;40;"00to19";16;16;10,06311;"Denmark"
2021;41;"00to19";14;14;10,05037;"Denmark"
2021;42;"00to19";11;11;10,03764;"Denmark"
2021;43;"00to19";15;15;10,02493;"Denmark"
2021;44;"00to19";17;17;10,01224;"Denmark"
2021;45;"00to19";10;10;9,999558;"Denmark"
2021;46;"00to19";12;12;9,986896;"Denmark"
2021;47;"00to19";16;16;9,974251;"Denmark"
2021;48;"00to19";14;14;9,961621;"Denmark"
2021;49;"00to19";14;14;9,949007;"Denmark"
2021;50;"00to19";12;12;9,936409;"Denmark"
2021;51;"00to19";10;10;9,923827;"Denmark"
2021;52;"00to19";16;16;9,911261;"Denmark"
2022;1;"00to19";15;15;9,898711;"Denmark"
2022;2;"00to19";14;14;9,886176;"Denmark"
2022;3;"00to19";11;11;9,873658;"Denmark"
2022;4;"00to19";14;14;9,861156;"Denmark"
2022;5;"00to19";14;14;9,848669;"Denmark"
2022;6;"00to19";13;13;9,836198;"Denmark"
2022;7;"00to19";7;8,129525;9,823743;"Denmark"
2022;8;"00to19";8;9,615557;9,811304;"Denmark"
2022;9;"00to19";9;12,97315;9,79888;"Denmark"
2020;1;"20to39";15;15;12,8212;"Denmark"
2020;2;"20to39";14;14;12,80467;"Denmark"
2020;3;"20to39";17;17;12,78816;"Denmark"
2020;4;"20to39";12;12;12,77166;"Denmark"
2020;5;"20to39";13;13;12,75519;"Denmark"
2020;6;"20to39";16;16;12,73875;"Denmark"
2020;7;"20to39";12;12;12,72232;"Denmark"
2020;8;"20to39";10;10;12,70591;"Denmark"
2020;9;"20to39";17;17;12,68952;"Denmark"
2020;10;"20to39";8;8;12,67316;"Denmark"
2020;11;"20to39";19;19;12,65682;"Denmark"
2020;12;"20to39";14;14;12,64049;"Denmark"
2020;13;"20to39";9;9;12,62419;"Denmark"
2020;14;"20to39";12;12;12,60791;"Denmark"
2020;15;"20to39";9;9;12,59165;"Denmark"
2020;16;"20to39";19;19;12,57542;"Denmark"
2020;17;"20to39";15;15;12,5592;"Denmark"
2020;18;"20to39";11;11;12,543;"Denmark"
2020;19;"20to39";13;13;12,52683;"Denmark"
2020;20;"20to39";14;14;12,51067;"Denmark"
2020;21;"20to39";11;11;12,49454;"Denmark"
2020;22;"20to39";16;16;12,47843;"Denmark"
2020;23;"20to39";11;11;12,46233;"Denmark"
2020;24;"20to39";15;15;12,44626;"Denmark"
2020;25;"20to39";11;11;12,43021;"Denmark"
2020;26;"20to39";11;11;12,41418;"Denmark"
2020;27;"20to39";19;19;12,39817;"Denmark"
2020;28;"20to39";14;14;12,38218;"Denmark"
2020;29;"20to39";16;16;12,36621;"Denmark"
2020;30;"20to39";20;20;12,35027;"Denmark"
2020;31;"20to39";12;12;12,33434;"Denmark"
2020;32;"20to39";17;17;12,31843;"Denmark"
2020;33;"20to39";16;16;12,30255;"Denmark"
2020;34;"20to39";18;18;12,28668;"Denmark"
2020;35;"20to39";17;17;12,27084;"Denmark"
2020;36;"20to39";13;13;12,25501;"Denmark"
2020;37;"20to39";20;20;12,23921;"Denmark"
2020;38;"20to39";9;9;12,22342;"Denmark"
2020;39;"20to39";16;16;12,20766;"Denmark"
2020;40;"20to39";14;14;12,19192;"Denmark"
2020;41;"20to39";9;9;12,1762;"Denmark"
2020;42;"20to39";13;13;12,16049;"Denmark"
2020;43;"20to39";9;9;12,14481;"Denmark"
2020;44;"20to39";13;13;12,12915;"Denmark"
2020;45;"20to39";13;13;12,11351;"Denmark"
2020;46;"20to39";13;13;12,09789;"Denmark"
2020;47;"20to39";20;20;12,08228;"Denmark"
2020;48;"20to39";18;18;12,0667;"Denmark"
2020;49;"20to39";24;24;12,05114;"Denmark"
2020;50;"20to39";20;20;12,0356;"Denmark"
2020;51;"20to39";11;11;12,02008;"Denmark"
2020;52;"20to39";12;12;12,00458;"Denmark"
2020;53;"20to39";10;10;11,9891;"Denmark"
2021;1;"20to39";11;11;11,97364;"Denmark"
2021;2;"20to39";12;12;11,95819;"Denmark"
2021;3;"20to39";13;13;11,94277;"Denmark"
2021;4;"20to39";17;17;11,92737;"Denmark"
2021;5;"20to39";7;7;11,91199;"Denmark"
2021;6;"20to39";14;14;11,89663;"Denmark"
2021;7;"20to39";5;5;11,88129;"Denmark"
2021;8;"20to39";13;13;11,86596;"Denmark"
2021;9;"20to39";13;13;11,85066;"Denmark"
2021;10;"20to39";17;17;11,83538;"Denmark"
2021;11;"20to39";16;16;11,82012;"Denmark"
2021;12;"20to39";19;19;11,80487;"Denmark"
2021;13;"20to39";13;13;11,78965;"Denmark"
2021;14;"20to39";13;13;11,77445;"Denmark"
2021;15;"20to39";11;11;11,75926;"Denmark"
2021;16;"20to39";21;21;11,7441;"Denmark"
2021;17;"20to39";12;12;11,72895;"Denmark"
2021;18;"20to39";10;10;11,71383;"Denmark"
2021;19;"20to39";12;12;11,69872;"Denmark"
2021;20;"20to39";8;8;11,68363;"Denmark"
2021;21;"20to39";16;16;11,66857;"Denmark"
2021;22;"20to39";15;15;11,65352;"Denmark"
2021;23;"20to39";12;12;11,63849;"Denmark"
2021;24;"20to39";13;13;11,62348;"Denmark"
2021;25;"20to39";9;9;11,60849;"Denmark"
2021;26;"20to39";9;9;11,59352;"Denmark"
2021;27;"20to39";11;11;11,57857;"Denmark"
2021;28;"20to39";7;7;11,56364;"Denmark"
2021;29;"20to39";13;13;11,54872;"Denmark"
2021;30;"20to39";16;16;11,53383;"Denmark"
2021;31;"20to39";14;14;11,51896;"Denmark"
2021;32;"20to39";15;15;11,5041;"Denmark"
2021;33;"20to39";13;13;11,48927;"Denmark"
2021;34;"20to39";10;10;11,47445;"Denmark"
2021;35;"20to39";15;15;11,45965;"Denmark"
2021;36;"20to39";10;10;11,44487;"Denmark"
2021;37;"20to39";8;8;11,43011;"Denmark"
2021;38;"20to39";12;12;11,41537;"Denmark"
2021;39;"20to39";16;16;11,40065;"Denmark"
2021;40;"20to39";14;14;11,38595;"Denmark"
2021;41;"20to39";19;19;11,37127;"Denmark"
2021;42;"20to39";20;20;11,3566;"Denmark"
2021;43;"20to39";13;13;11,34196;"Denmark"
2021;44;"20to39";9;9;11,32733;"Denmark"
2021;45;"20to39";9;9;11,31272;"Denmark"
2021;46;"20to39";11;11;11,29813;"Denmark"
2021;47;"20to39";11;11;11,28356;"Denmark"
2021;48;"20to39";10;10;11,26901;"Denmark"
2021;49;"20to39";16;16;11,25448;"Denmark"
2021;50;"20to39";8;8;11,23997;"Denmark"
2021;51;"20to39";10;10;11,22547;"Denmark"
2021;52;"20to39";17;17;11,21099;"Denmark"
2022;1;"20to39";15;15;11,19654;"Denmark"
2022;2;"20to39";7;7;11,1821;"Denmark"
2022;3;"20to39";13;13,0136;11,16768;"Denmark"
2022;4;"20to39";18;18,59074;11,15328;"Denmark"
2022;5;"20to39";13;13,11687;11,13889;"Denmark"
2022;6;"20to39";22;24,99015;11,12453;"Denmark"
2022;7;"20to39";7;8,808489;11,11018;"Denmark"
2022;8;"20to39";5;7,768773;11,09585;"Denmark"
2022;9;"20to39";14;16,01293;11,08154;"Denmark"
2020;1;"40to49";17;17;19,56869;"Denmark"
2020;2;"40to49";33;33;19,5696;"Denmark"
2020;3;"40to49";24;24;19,57142;"Denmark"
2020;4;"40to49";15;15;19,57389;"Denmark"
2020;5;"40to49";25;25;19,57671;"Denmark"
2020;6;"40to49";16;16;19,5796;"Denmark"
2020;7;"40to49";17;17;19,58225;"Denmark"
2020;8;"40to49";28;28;19,58438;"Denmark"
2020;9;"40to49";19;19;19,5857;"Denmark"
2020;10;"40to49";25;25;19,58595;"Denmark"
2020;11;"40to49";20;20;19,58487;"Denmark"
2020;12;"40to49";25;25;19,58222;"Denmark"
2020;13;"40to49";18;18;19,57779;"Denmark"
2020;14;"40to49";25;25;19,57139;"Denmark"
2020;15;"40to49";22;22;19,56287;"Denmark"
2020;16;"40to49";19;19;19,5521;"Denmark"
2020;17;"40to49";33;33;19,53899;"Denmark"
2020;18;"40to49";22;22;19,52349;"Denmark"
2020;19;"40to49";24;24;19,50556;"Denmark"
2020;20;"40to49";19;19;19,48523;"Denmark"
2020;21;"40to49";17;17;19,46255;"Denmark"
2020;22;"40to49";14;14;19,43761;"Denmark"
2020;23;"40to49";14;14;19,41052;"Denmark"
2020;24;"40to49";21;21;19,38143;"Denmark"
2020;25;"40to49";26;26;19,35054;"Denmark"
2020;26;"40to49";12;12;19,31803;"Denmark"
2020;27;"40to49";11;11;19,28415;"Denmark"
2020;28;"40to49";12;12;19,24914;"Denmark"
2020;29;"40to49";22;22;19,21326;"Denmark"
2020;30;"40to49";18;18;19,1768;"Denmark"
2020;31;"40to49";25;25;19,14004;"Denmark"
2020;32;"40to49";21;21;19,10326;"Denmark"
2020;33;"40to49";21;21;19,06675;"Denmark"
2020;34;"40to49";16;16;19,0308;"Denmark"
2020;35;"40to49";9;9;18,99566;"Denmark"
2020;36;"40to49";23;23;18,96162;"Denmark"
2020;37;"40to49";15;15;18,9289;"Denmark"
2020;38;"40to49";13;13;18,89772;"Denmark"
2020;39;"40to49";15;15;18,8683;"Denmark"
2020;40;"40to49";16;16;18,8408;"Denmark"
2020;41;"40to49";17;17;18,81538;"Denmark"
2020;42;"40to49";20;20;18,79214;"Denmark"
2020;43;"40to49";23;23;18,77118;"Denmark"
2020;44;"40to49";23;23;18,75255;"Denmark"
2020;45;"40to49";19;19;18,73627;"Denmark"
2020;46;"40to49";22;22;18,72233;"Denmark"
2020;47;"40to49";17;17;18,71069;"Denmark"
2020;48;"40to49";26;26;18,70127;"Denmark"
2020;49;"40to49";23;23;18,69396;"Denmark"
2020;50;"40to49";25;25;18,68862;"Denmark"
2020;51;"40to49";20;20;18,6851;"Denmark"
2020;52;"40to49";19;19;18,6832;"Denmark"
2020;53;"40to49";29;29;18,68271;"Denmark"
2021;1;"40to49";23;23;18,68339;"Denmark"
2021;2;"40to49";14;14;18,68499;"Denmark"
2021;3;"40to49";17;17;18,68726;"Denmark"
2021;4;"40to49";18;18;18,68991;"Denmark"
2021;5;"40to49";18;18;18,69267;"Denmark"
2021;6;"40to49";25;25;18,69526;"Denmark"
2021;7;"40to49";20;20;18,69741;"Denmark"
2021;8;"40to49";17;17;18,69883;"Denmark"
2021;9;"40to49";19;19;18,69927;"Denmark"
2021;10;"40to49";17;17;18,69848;"Denmark"
2021;11;"40to49";26;26;18,69624;"Denmark"
2021;12;"40to49";21;21;18,69233;"Denmark"
2021;13;"40to49";15;15;18,68657;"Denmark"
2021;14;"40to49";16;16;18,67881;"Denmark"
2021;15;"40to49";25;25;18,66892;"Denmark"
2021;16;"40to49";19;19;18,65682;"Denmark"
2021;17;"40to49";23;23;18,64242;"Denmark"
2021;18;"40to49";27;27;18,62573;"Denmark"
2021;19;"40to49";22;22;18,60673;"Denmark"
2021;20;"40to49";23;23;18,58548;"Denmark"
2021;21;"40to49";20;20;18,56204;"Denmark"
2021;22;"40to49";16;16;18,53654;"Denmark"
2021;23;"40to49";25;25;18,5091;"Denmark"
2021;24;"40to49";16;16;18,4799;"Denmark"
2021;25;"40to49";19;19;18,44912;"Denmark"
2021;26;"40to49";19;19;18,417;"Denmark"
2021;27;"40to49";16;16;18,38374;"Denmark"
2021;28;"40to49";19;19;18,34962;"Denmark"
2021;29;"40to49";26;26;18,31489;"Denmark"
2021;30;"40to49";26;26;18,27983;"Denmark"
2021;31;"40to49";20;20;18,2447;"Denmark"
2021;32;"40to49";16;16;18,20978;"Denmark"
2021;33;"40to49";21;21;18,17533;"Denmark"
2021;34;"40to49";21;21;18,14163;"Denmark"
2021;35;"40to49";26;26;18,10892;"Denmark"
2021;36;"40to49";21;21;18,07744;"Denmark"
2021;37;"40to49";15;15;18,0474;"Denmark"
2021;38;"40to49";19;19;18,01899;"Denmark"
2021;39;"40to49";22;22;17,9924;"Denmark"
2021;40;"40to49";23;23;17,96776;"Denmark"
2021;41;"40to49";19;19;17,94519;"Denmark"
2021;42;"40to49";15;15;17,92478;"Denmark"
2021;43;"40to49";15;15;17,90659;"Denmark"
2021;44;"40to49";14;14;17,89065;"Denmark"
2021;45;"40to49";21;21;17,87694;"Denmark"
2021;46;"40to49";26;26;17,86543;"Denmark"
2021;47;"40to49";29;29;17,85606;"Denmark"
2021;48;"40to49";25;25;17,84873;"Denmark"
2021;49;"40to49";23;23;17,84331;"Denmark"
2021;50;"40to49";20;20;17,83965;"Denmark"
2021;51;"40to49";16;16;17,83757;"Denmark"
2021;52;"40to49";19;19;17,83687;"Denmark"
2022;1;"40to49";24;24;17,83733;"Denmark"
2022;2;"40to49";30;30;17,83873;"Denmark"
2022;3;"40to49";16;16,8387;17,84079;"Denmark"
2022;4;"40to49";25;25,32875;17,84328;"Denmark"
2022;5;"40to49";20;20,39964;17,84592;"Denmark"
2022;6;"40to49";18;18,75026;17,84844;"Denmark"
2022;7;"40to49";19;19,86534;17,85059;"Denmark"
2022;8;"40to49";19;20,17842;17,85209;"Denmark"
2022;9;"40to49";20;22,47809;17,85269;"Denmark"
2020;1;"50to54";20;20;21,38842;"Denmark"
2020;2;"50to54";34;34;21,41199;"Denmark"
2020;3;"50to54";19;19;21,46461;"Denmark"
2020;4;"50to54";24;24;21,5456;"Denmark"
2020;5;"50to54";35;35;21,65395;"Denmark"
2020;6;"50to54";31;31;21,78839;"Denmark"
2020;7;"50to54";29;29;21,94727;"Denmark"
2020;8;"50to54";29;29;22,12867;"Denmark"
2020;9;"50to54";23;23;22,33033;"Denmark"
2020;10;"50to54";20;20;22,54968;"Denmark"
2020;11;"50to54";19;19;22,78384;"Denmark"
2020;12;"50to54";26;26;23,02964;"Denmark"
2020;13;"50to54";19;19;23,28365;"Denmark"
2020;14;"50to54";26;26;23,54219;"Denmark"
2020;15;"50to54";19;19;23,80143;"Denmark"
2020;16;"50to54";17;17;24,05734;"Denmark"
2020;17;"50to54";17;17;24,30586;"Denmark"
2020;18;"50to54";23;23;24,5429;"Denmark"
2020;19;"50to54";36;36;24,76446;"Denmark"
2020;20;"50to54";22;22;24,96666;"Denmark"
2020;21;"50to54";14;14;25,1459;"Denmark"
2020;22;"50to54";27;27;25,29889;"Denmark"
2020;23;"50to54";22;22;25,42274;"Denmark"
2020;24;"50to54";20;20;25,51508;"Denmark"
2020;25;"50to54";27;27;25,57405;"Denmark"
2020;26;"50to54";18;18;25,59842;"Denmark"
2020;27;"50to54";27;27;25,58757;"Denmark"
2020;28;"50to54";24;24;25,54157;"Denmark"
2020;29;"50to54";23;23;25,46111;"Denmark"
2020;30;"50to54";14;14;25,34753;"Denmark"
2020;31;"50to54";27;27;25,20275;"Denmark"
2020;32;"50to54";23;23;25,02924;"Denmark"
2020;33;"50to54";24;24;24,82995;"Denmark"
2020;34;"50to54";22;22;24,60821;"Denmark"
2020;35;"50to54";20;20;24,36767;"Denmark"
2020;36;"50to54";13;13;24,11222;"Denmark"
2020;37;"50to54";21;21;23,84587;"Denmark"
2020;38;"50to54";29;29;23,57269;"Denmark"
2020;39;"50to54";24;24;23,29673;"Denmark"
2020;40;"50to54";23;23;23,02197;"Denmark"
2020;41;"50to54";11;11;22,75219;"Denmark"
2020;42;"50to54";26;26;22,49102;"Denmark"
2020;43;"50to54";29;29;22,2418;"Denmark"
2020;44;"50to54";12;12;22,00764;"Denmark"
2020;45;"50to54";29;29;21,79132;"Denmark"
2020;46;"50to54";27;27;21,59531;"Denmark"
2020;47;"50to54";19;19;21,4218;"Denmark"
2020;48;"50to54";23;23;21,27261;"Denmark"
2020;49;"50to54";20;20;21,14928;"Denmark"
2020;50;"50to54";18;18;21,05301;"Denmark"
2020;51;"50to54";25;25;20,98469;"Denmark"
2020;52;"50to54";14;14;20,94493;"Denmark"
2020;53;"50to54";26;26;20,93401;"Denmark"
2021;1;"50to54";25;25;20,95192;"Denmark"
2021;2;"50to54";23;23;20,99834;"Denmark"
2021;3;"50to54";19;19;21,07268;"Denmark"
2021;4;"50to54";25;25;21,174;"Denmark"
2021;5;"50to54";25;25;21,3011;"Denmark"
2021;6;"50to54";27;27;21,45244;"Denmark"
2021;7;"50to54";29;29;21,62618;"Denmark"
2021;8;"50to54";24;24;21,82018;"Denmark"
2021;9;"50to54";17;17;22,03196;"Denmark"
2021;10;"50to54";30;30;22,25876;"Denmark"
2021;11;"50to54";27;27;22,49754;"Denmark"
2021;12;"50to54";20;20;22,74498;"Denmark"
