Age;2021M01D01;2021M01D02;2021M01D03;2021M01D04;2021M01D05;2021M01D06;2021M01D07;2021M01D08;2021M01D09;2021M01D10;2021M01D11;2021M01D12;2021M01D13;2021M01D14;2021M01D15;2021M01D16;2021M01D17;2021M01D18;2021M01D19;2021M01D20;2021M01D21;2021M01D22;2021M01D23;2021M01D24;2021M01D25;2021M01D26;2021M01D27;2021M01D28;2021M01D29;2021M01D30;2021M01D31;2021M02D01;2021M02D02;2021M02D03;2021M02D04;2021M02D05;2021M02D06;2021M02D07;2021M02D08;2021M02D09;2021M02D10;2021M02D11;2021M02D12;2021M02D13;2021M02D14;2021M02D15;2021M02D16;2021M02D17;2021M02D18;2021M02D19;2021M02D20;2021M02D21;2021M02D22;2021M02D23;2021M02D24;2021M02D25;2021M02D26;2021M02D27;2021M02D28;2021M03D01;2021M03D02;2021M03D03;2021M03D04;2021M03D05;2021M03D06;2021M03D07;2021M03D08;2021M03D09;2021M03D10;2021M03D11;2021M03D12;2021M03D13;2021M03D14;2021M03D15;2021M03D16;2021M03D17;2021M03D18;2021M03D19;2021M03D20;2021M03D21;2021M03D22;2021M03D23;2021M03D24;2021M03D25;2021M03D26;2021M03D27;2021M03D28;2021M03D29;2021M03D30;2021M03D31;2021M04D01;2021M04D02;2021M04D03;2021M04D04;2021M04D05;2021M04D06;2021M04D07;2021M04D08;2021M04D09;2021M04D10;2021M04D11;2021M04D12;2021M04D13;2021M04D14;2021M04D15;2021M04D16;2021M04D17;2021M04D18;2021M04D19;2021M04D20;2021M04D21;2021M04D22;2021M04D23;2021M04D24;2021M04D25;2021M04D26;2021M04D27;2021M04D28;2021M04D29;2021M04D30;2021M05D01;2021M05D02;2021M05D03;2021M05D04;2021M05D05;2021M05D06;2021M05D07;2021M05D08;2021M05D09;2021M05D10;2021M05D11;2021M05D12;2021M05D13;2021M05D14;2021M05D15;2021M05D16;2021M05D17;2021M05D18;2021M05D19;2021M05D20;2021M05D21;2021M05D22;2021M05D23;2021M05D24;2021M05D25;2021M05D26;2021M05D27;2021M05D28;2021M05D29;2021M05D30;2021M05D31;2021M06D01;2021M06D02;2021M06D03;2021M06D04;2021M06D05;2021M06D06;2021M06D07;2021M06D08;2021M06D09;2021M06D10;2021M06D11;2021M06D12;2021M06D13;2021M06D14;2021M06D15;2021M06D16;2021M06D17;2021M06D18;2021M06D19;2021M06D20;2021M06D21;2021M06D22;2021M06D23;2021M06D24;2021M06D25;2021M06D26;2021M06D27;2021M06D28;2021M06D29;2021M06D30;2021M07D01;2021M07D02;2021M07D03;2021M07D04;2021M07D05;2021M07D06;2021M07D07;2021M07D08;2021M07D09;2021M07D10;2021M07D11;2021M07D12;2021M07D13;2021M07D14;2021M07D15;2021M07D16;2021M07D17;2021M07D18;2021M07D19;2021M07D20;2021M07D21;2021M07D22;2021M07D23;2021M07D24;2021M07D25;2021M07D26;2021M07D27;2021M07D28;2021M07D29;2021M07D30;2021M07D31;2021M08D01;2021M08D02;2021M08D03;2021M08D04;2021M08D05;2021M08D06;2021M08D07;2021M08D08;2021M08D09;2021M08D10;2021M08D11;2021M08D12;2021M08D13;2021M08D14;2021M08D15;2021M08D16;2021M08D17;2021M08D18;2021M08D19;2021M08D20;2021M08D21;2021M08D22;2021M08D23;2021M08D24;2021M08D25;2021M08D26;2021M08D27;2021M08D28;2021M08D29;2021M08D30;2021M08D31;2021M09D01;2021M09D02;2021M09D03;2021M09D04;2021M09D05;2021M09D06;2021M09D07;2021M09D08;2021M09D09;2021M09D10;2021M09D11;2021M09D12;2021M09D13;2021M09D14;2021M09D15;2021M09D16;2021M09D17;2021M09D18;2021M09D19;2021M09D20;2021M09D21;2021M09D22;2021M09D23;2021M09D24;2021M09D25;2021M09D26
0-4 år;1;0;0;0;1;2;2;1;0;0;0;0;1;2;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;1;0;2;0;4;0;0;3;1;2;0;1;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;1;3;1;1;2;1;0;0;0;1;1;1;0;1;2;0;0;1;1;1;1;1;0;0;0;1;0;2;0;1;1;0;2;0;1;0;1;1;1;1;0;0;2;0;2;0;0;0;3;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;1;1;1;2;0;1;0;1;3;0;0;1;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;1;1;0;0;1;0;0;1;0;0;1;1;0;0;1;0;0;1;0;1;2;0;0;0;1;2;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;1;0;1;1;2;0;0;2;0;2;0;2;1;0;0;1;1;2;0;1;0;1;0;1;2;1;0;0;1;2;0;2;0;1;0;0;1;0;1;3;0;0;1;0;0;1;0;2;0;0;1;1;0;1;1;0;0;1;0;0;0;1;0;2
5-9 år;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10-14 år;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15-19 år;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20-24 år;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;1;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;0;0;0;1;0;0;2;2;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0
25-29 år;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;2;0;0;0;3;0;0;1;0;1;0;1;1;0;0;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;1;0;1;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1
30-34 år;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;2;0;2;1;1;1;1;1;3;1;0;0;0;2;1;1;1;1;0;0;0;2;0;1;0;1;0;1;0;0;0;1;0;0;1;1;2;1;0;2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;1;2;1;1;0
35-39 år;0;3;0;1;1;0;1;1;1;2;0;0;1;0;3;1;0;1;0;0;2;1;0;0;1;2;1;2;0;0;0;1;1;0;0;1;0;0;2;2;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;1;1;0;2;0;0;0;1;0;2;0;1;1;1;0;1;2;1;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;0;2;0;1;0;1;0;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;2;1;0;1;0;0;0;0;0;1;0;1;0;1;0;1;2;0;1;0;0;1;0;0;0;1;1;0;3;1;1;0;1;2;0;1;0;0;0;0;0;1;1;0;1;2;1;1;0;2;0;0;0;0;1;0;0;1;0;2;0;0;0;1;1;0;1;0;0;1;0;1;2;0;0;0;2;0;0;0;0;0;0;1;0;1;0;1;2;0;1;0;1;0;1;0;0;1;0;0;0;1;0;3;1;1;1;0;0;0;3;0;0;1;3;0;0;0;1;0;0;0;1;0;0;0;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0
40-44 år;2;0;2;0;1;1;1;0;1;2;1;2;0;0;0;2;1;2;1;0;2;1;1;0;1;0;1;0;1;0;0;1;2;0;2;1;1;3;2;4;0;3;1;0;1;1;1;2;0;0;2;2;1;2;1;0;1;2;1;1;1;1;0;0;1;1;0;1;0;0;2;1;2;0;3;2;1;1;1;0;1;1;1;0;1;4;0;0;0;0;0;0;0;1;1;0;2;1;0;0;0;2;1;1;1;1;2;1;1;0;0;0;3;0;2;1;0;1;2;0;0;1;2;3;3;0;1;3;1;2;3;0;3;3;1;2;0;1;0;1;0;0;2;0;2;0;0;2;0;0;2;1;0;1;0;0;0;1;1;2;0;0;2;1;0;1;1;0;0;0;0;2;0;0;1;1;0;1;0;0;2;1;1;1;1;1;0;1;0;0;2;0;0;0;1;0;0;4;0;1;0;1;1;1;4;2;0;0;3;0;0;0;2;1;1;2;3;0;1;0;0;2;0;1;1;0;0;1;0;0;3;3;1;0;1;1;1;0;1;1;0;0;1;0;1;2;0;0;2;0;0;0;2;0;2;1;2;0;0;1;0;1;0;2;1;1;0;0;0
45-49 år;3;1;1;2;4;2;4;0;1;2;1;1;2;0;0;2;0;2;3;2;1;0;0;0;2;0;0;2;3;4;1;1;0;0;2;3;0;1;2;1;1;1;3;4;0;2;0;3;1;1;1;2;3;0;1;2;0;1;1;2;2;1;0;2;2;1;3;1;1;2;2;0;1;3;2;3;2;1;2;1;0;1;1;2;1;3;2;2;1;1;3;0;2;2;1;0;2;1;3;0;1;3;1;4;1;4;0;1;1;2;2;2;1;3;1;4;1;5;1;2;0;3;1;4;3;2;1;1;2;1;1;1;1;2;1;0;2;1;4;2;3;3;2;1;1;1;3;1;3;3;3;1;1;0;1;2;4;2;3;2;0;3;2;2;2;2;1;3;1;2;2;3;2;1;2;2;2;1;1;3;1;0;2;1;3;1;5;1;0;1;1;3;1;0;1;1;3;2;4;1;1;4;1;4;1;3;4;3;4;3;0;5;0;1;1;3;1;1;0;3;2;0;3;1;2;2;1;1;3;1;3;1;1;2;0;1;4;4;3;0;2;4;0;3;4;4;3;0;3;0;5;2;3;1;1;1;0;1;1;3;1;2;2;1;5;3;0;1;1
50-54 år;2;5;1;3;3;7;1;6;1;3;3;3;4;5;2;2;2;4;1;2;3;1;6;0;5;3;1;2;3;3;4;3;3;1;6;1;3;3;3;3;2;2;4;5;5;5;6;0;3;5;6;3;5;4;2;2;0;4;6;2;0;2;4;2;2;1;2;6;0;6;4;2;4;5;4;1;7;5;3;2;1;3;3;2;2;2;2;2;2;4;1;4;0;1;2;4;3;3;2;5;2;5;2;2;1;4;2;0;3;2;2;1;4;0;3;3;5;2;2;5;1;2;4;3;3;3;5;2;2;2;3;1;2;2;2;4;2;4;3;5;0;6;2;1;2;2;2;3;1;2;3;5;7;3;3;1;4;3;3;2;4;4;1;3;2;5;1;3;2;4;3;7;2;0;2;5;6;6;5;4;5;2;4;1;4;0;0;1;2;2;4;1;4;2;2;3;6;2;1;1;2;4;4;7;2;1;1;3;2;3;6;4;1;4;2;3;2;3;4;7;4;4;1;1;5;2;1;3;3;4;2;5;2;1;1;1;4;5;3;3;4;2;4;2;2;3;1;3;4;3;1;3;5;2;2;3;3;1;3;5;0;2;5;3;4;3;2;0;0
55-59 år;3;6;1;5;4;6;6;5;5;5;9;7;4;5;3;9;3;2;8;3;6;6;1;6;7;2;11;6;7;4;4;8;2;6;4;5;4;8;5;8;7;4;5;4;5;3;13;0;9;4;5;3;3;4;5;3;4;5;7;2;9;3;5;5;4;3;7;4;6;3;8;6;5;5;4;7;10;5;7;3;9;7;4;3;2;4;7;5;8;6;4;6;4;5;6;5;5;3;4;9;2;8;6;5;5;3;4;6;7;0;4;9;9;7;2;5;8;3;8;5;5;6;2;7;6;4;4;3;8;5;3;5;3;6;7;7;8;2;6;4;2;3;5;8;6;6;3;6;4;8;3;5;7;8;5;6;7;3;0;5;5;7;9;2;4;6;4;6;4;7;5;5;6;7;5;6;3;6;6;3;8;4;4;3;6;1;6;4;4;7;8;3;6;4;6;4;6;7;5;4;7;6;3;9;6;6;5;7;7;7;5;5;5;5;4;3;4;1;6;5;6;7;6;5;7;4;4;7;1;3;2;5;4;6;5;3;3;8;4;6;1;5;4;6;4;6;3;1;5;6;2;5;2;7;4;5;4;3;8;4;7;10;4;6;3;10;9;6;3
60-64 år;11;9;3;8;8;11;16;13;10;8;7;11;2;8;11;10;9;10;6;7;12;7;8;10;6;6;13;10;7;7;8;3;10;10;9;7;9;5;10;2;15;6;5;12;10;8;9;9;12;14;7;7;5;3;5;8;15;5;10;9;7;10;6;3;11;3;8;0;6;11;9;5;10;8;7;7;7;7;10;8;6;11;5;6;9;8;7;9;13;8;6;8;5;8;3;7;6;7;5;7;5;7;4;6;6;6;10;10;2;6;9;10;4;7;7;9;7;6;8;6;6;10;7;9;6;3;10;7;9;12;9;10;10;6;9;9;11;7;4;14;7;4;3;10;12;9;3;8;8;5;5;6;7;6;10;4;12;10;14;2;8;11;7;10;5;7;5;5;6;7;6;5;7;8;8;7;4;6;5;1;10;8;7;6;3;9;5;5;3;5;4;11;12;4;10;11;4;3;5;14;5;7;6;6;8;10;9;14;8;10;8;5;5;9;4;9;11;11;8;9;12;7;8;3;6;7;8;4;7;4;12;14;1;12;5;8;7;6;5;7;7;3;6;1;7;8;5;7;11;1;9;6;6;5;7;9;4;4;7;8;11;6;6;10;10;5;6;8;5
65-69 år;16;10;19;13;9;16;11;14;12;13;12;14;17;13;14;12;16;11;16;16;14;13;4;11;16;14;20;8;16;20;10;7;9;21;18;19;13;12;13;12;13;8;15;13;5;10;13;12;7;19;12;11;9;14;7;9;9;8;12;8;8;11;10;14;13;4;9;9;9;20;13;12;14;10;15;5;9;11;10;9;14;7;18;12;12;13;7;9;7;11;17;6;13;12;12;7;12;12;13;14;9;13;10;8;8;12;12;15;15;12;15;13;15;12;13;16;12;11;12;11;13;11;10;13;9;17;13;6;17;11;14;11;9;14;7;10;9;9;9;6;14;10;9;14;6;13;13;9;12;14;5;7;10;7;11;7;10;9;9;10;9;12;7;14;6;11;4;11;12;5;12;9;11;13;13;6;9;15;8;12;14;15;10;11;7;9;9;9;6;11;12;13;17;11;13;11;18;13;4;9;11;14;11;8;8;11;16;8;6;8;7;11;9;12;13;13;15;10;14;19;10;14;13;9;9;6;8;15;9;17;13;12;15;9;11;12;15;5;19;11;11;10;8;13;6;17;7;13;21;9;10;12;12;17;9;7;11;12;9;19;9;9;16;9;14;8;15;13;9
70-74 år;22;24;19;18;20;19;19;20;20;19;27;24;19;14;13;27;17;15;23;35;20;22;24;13;28;21;12;29;23;18;14;15;17;16;20;24;15;18;15;25;23;18;19;17;17;15;14;17;13;13;20;18;8;15;13;11;11;13;13;24;10;13;18;16;20;22;19;19;18;27;20;17;15;17;12;14;20;23;21;22;24;17;15;16;14;9;15;10;13;28;27;13;15;14;26;16;17;20;15;13;11;15;23;13;17;12;28;11;29;12;10;15;19;20;16;18;14;22;25;14;8;19;29;24;18;20;27;28;9;27;14;19;17;13;12;15;21;25;19;22;20;22;25;14;17;14;13;24;16;10;13;13;16;19;19;19;17;22;14;11;22;17;19;18;16;14;22;27;18;20;8;20;18;18;17;21;12;15;24;15;13;30;21;14;13;19;10;13;17;14;16;17;20;16;16;19;8;16;14;21;20;24;16;22;17;20;13;25;12;16;21;22;11;16;20;16;24;21;9;10;17;18;15;23;18;19;11;17;22;13;15;17;5;12;16;20;24;18;16;25;16;22;14;17;25;22;21;18;15;14;11;18;19;18;13;21;23;14;16;19;12;17;15;19;19;15;20;12;20
75-79 år;29;30;16;23;28;33;16;28;29;23;33;32;22;27;25;21;30;29;29;26;27;23;26;29;20;19;19;28;32;20;30;33;27;18;19;31;22;29;24;18;18;27;25;23;23;28;28;19;24;24;20;26;32;22;26;23;18;20;19;16;16;25;24;16;21;22;28;18;21;17;20;26;25;17;21;28;19;33;23;19;27;25;28;20;27;27;19;23;14;20;16;26;19;29;23;21;19;25;26;23;25;23;18;20;22;29;28;19;14;21;23;25;24;27;26;17;27;23;19;27;15;17;14;33;27;22;22;24;24;28;22;21;21;13;30;23;24;23;22;18;19;33;25;23;17;30;22;24;27;31;25;28;21;26;35;26;20;25;19;20;24;29;27;16;15;19;29;20;26;20;23;22;26;22;21;28;18;25;25;21;16;20;19;21;16;23;13;19;32;27;24;25;28;32;28;26;18;19;30;21;21;34;22;13;22;26;20;28;27;24;28;22;32;24;21;28;22;30;20;41;19;24;28;28;30;21;23;25;18;21;23;21;22;20;22;25;23;23;32;26;26;23;15;17;32;27;23;20;35;20;21;18;26;29;17;25;24;25;26;23;20;25;29;20;25;27;26;20;30
80-84 år;30;20;22;31;27;27;38;31;35;32;27;40;19;29;19;29;28;30;32;35;34;35;24;32;27;24;27;29;31;28;35;28;43;27;28;28;27;23;26;36;15;29;30;29;21;27;19;26;26;23;25;19;16;27;31;21;22;26;15;29;23;24;23;32;17;16;18;16;24;24;40;28;28;23;14;22;18;19;27;23;30;29;27;21;15;28;19;25;22;28;21;22;21;28;21;14;21;21;24;24;15;28;19;23;22;33;21;20;26;23;19;17;32;32;24;18;21;28;21;24;18;25;26;31;22;21;28;27;19;23;25;20;17;28;20;25;18;14;31;23;28;24;27;23;23;23;24;22;29;37;19;17;27;27;22;25;23;26;23;32;21;24;19;17;20;22;22;20;25;33;25;20;23;17;17;18;24;18;25;29;24;26;26;14;31;17;21;23;23;17;27;24;19;26;37;23;35;23;20;22;26;17;29;27;22;22;21;16;24;17;30;21;24;25;26;22;28;25;32;28;24;24;28;35;18;25;29;32;36;30;30;14;21;20;31;27;19;27;25;16;23;22;28;24;26;25;23;28;23;32;20;39;24;31;29;31;28;28;19;18;28;23;20;26;23;20;25;22;21
85-89 år;34;25;35;27;23;26;37;28;33;29;42;28;25;32;22;33;28;31;37;37;27;36;34;36;34;33;29;30;33;26;29;30;25;27;28;19;32;30;21;29;27;21;26;23;23;28;14;25;26;19;26;33;20;16;29;35;24;25;16;22;20;31;22;19;26;28;21;24;24;23;19;17;14;26;20;23;18;20;23;9;23;31;24;33;20;29;22;20;17;38;30;21;18;18;19;19;27;24;15;19;23;17;30;25;33;26;27;27;22;22;24;16;23;22;32;21;19;25;28;18;22;34;29;31;30;26;30;24;24;24;20;21;30;26;33;27;20;32;24;18;18;22;18;19;27;25;21;27;23;10;23;26;22;30;24;32;21;16;27;29;22;30;35;22;23;20;25;27;29;22;24;19;21;35;26;28;35;14;28;26;26;41;29;37;29;30;22;24;20;25;15;24;23;21;25;26;28;28;25;21;28;33;23;21;32;24;15;20;22;38;25;20;18;27;26;28;16;28;24;24;25;20;15;32;32;26;28;24;30;13;20;35;29;26;16;33;28;27;24;24;30;26;31;16;31;23;24;20;28;29;25;27;33;17;26;27;24;24;15;24;31;29;25;17;33;20;25;25;29
90-94 år;32;18;25;18;24;26;23;21;25;19;15;21;25;30;19;22;19;19;23;24;20;25;21;23;25;27;21;18;21;14;25;23;30;29;23;24;22;28;21;19;21;25;24;28;23;22;25;20;9;12;18;17;18;25;20;22;17;18;23;21;22;18;14;8;16;17;16;28;17;32;14;15;21;13;18;19;13;21;17;11;15;14;12;16;23;19;11;17;20;11;17;14;9;14;25;13;10;22;22;22;19;12;24;17;15;14;23;12;20;19;19;14;19;17;21;15;26;11;22;21;12;18;13;20;29;15;19;19;19;22;19;13;26;15;18;15;18;24;16;14;23;24;15;17;27;20;14;10;18;16;13;18;19;16;16;16;15;17;17;19;24;17;19;11;16;23;19;19;28;21;13;19;18;10;19;29;11;13;23;18;14;17;13;20;21;17;21;20;20;20;19;15;19;12;17;19;24;21;22;18;23;13;18;16;18;14;19;23;17;20;19;17;19;21;19;15;17;24;18;28;17;18;19;19;25;14;17;21;25;24;22;24;13;15;16;17;16;15;19;24;16;19;25;16;17;23;18;17;14;23;15;17;17;22;21;16;20;21;22;18;13;17;18;14;17;22;12;12;16
95-99 år;8;12;10;14;10;9;9;8;6;9;13;14;6;13;10;10;6;8;7;12;13;6;18;13;9;14;10;10;7;9;5;10;10;8;13;12;4;10;5;6;13;7;5;9;6;7;11;8;11;10;10;11;8;4;7;9;8;11;6;9;9;7;6;3;9;12;5;7;10;12;9;6;8;4;4;9;9;2;6;5;11;10;7;2;9;7;5;9;6;10;11;5;1;6;10;6;5;8;3;8;14;7;5;8;7;10;8;4;6;9;9;8;17;9;7;5;7;6;17;10;7;9;8;6;13;7;4;12;4;8;6;7;9;4;7;9;5;7;14;6;11;9;10;8;11;5;9;4;7;7;9;9;14;8;8;8;14;13;7;5;12;12;6;11;8;9;4;10;10;6;10;8;11;10;8;9;6;7;10;6;10;3;11;6;11;7;5;9;4;8;7;7;5;7;8;11;12;8;7;5;4;6;4;11;9;7;7;12;17;5;7;6;11;10;8;12;10;7;12;8;12;10;3;6;9;11;17;12;10;7;7;6;7;6;3;7;11;6;6;9;7;4;11;9;7;9;7;8;8;13;10;12;5;8;11;6;4;8;7;14;6;11;3;10;9;5;8;10;8
100 år og derover;3;2;5;1;1;2;3;0;3;2;0;1;4;2;3;2;2;1;1;0;3;2;2;3;0;3;3;2;3;1;3;0;1;1;3;4;2;2;1;4;1;1;1;1;1;2;3;2;3;2;0;3;2;1;1;1;0;2;0;1;0;1;0;1;2;3;0;1;1;1;0;1;2;0;3;1;1;0;1;1;2;0;3;0;2;3;3;2;2;2;1;2;1;2;1;3;0;1;2;3;3;3;1;2;1;1;3;2;1;2;2;0;2;2;1;0;1;0;3;1;2;0;0;1;2;3;0;1;2;4;2;2;3;6;0;5;1;4;2;1;1;0;1;2;1;3;1;2;2;5;2;1;2;4;1;1;1;1;1;4;3;2;3;1;0;0;1;2;1;0;1;1;4;2;0;0;1;4;0;3;3;2;0;2;2;5;3;0;0;1;2;0;3;0;3;3;2;2;0;0;3;0;0;0;0;1;5;5;1;0;4;0;1;3;1;2;3;2;1;4;2;3;0;2;2;2;2;3;1;1;0;2;0;2;0;2;3;1;0;2;0;3;3;3;0;1;2;3;3;1;3;3;2;1;4;1;2;2;5;1;1;0;1;4;3;2;3;2;2
